Location,SchoolNumber,Name,Children,Latitude,Longitude
Gagra,0,გაგრას მუნიციპალიტეტი,0,43.283333,40.266667
Gali,0,გალის მუნიციპალიტეტი,0,42.627778,41.736111
Gudauta,0,გუდაშტას მუნიციპალიტეტი,0,43.1,40.616667
Gulripshi,0,გულრიპშის მუნიციპალიტეტი,0,42.931111,41.101667
Ochamchire,0,ოჩამჩირეს მუნიციპალიტეტი,0,42.716667,41.466667
Sokhumi,0,ქ. სოხუმი,0,43.003333,41.015278
Batumi,44,ქ. ბათუმი,40835,41.645833,41.641667
Keda,29,ქედის მუნიციპალიტეტი,1960,41.597778,41.9425
Khulo,50,ხულოს მუნიციპალიტეტი,2476,41.644444,42.313889
Kobuleti,49,ქობულეთის მუნიციპალიტეტი,12601,41.811111,41.775278
Shuakhevi,44,შუახევის მუნიციპალიტეტი,1366,41.626944,42.186944
Chokhatauri,32,ჩოხატაურის მუნიციპალიტეტი,2307,42.018889,42.239444
Lanchkhuti,25,ლანჩხუთის მუნიციპალიტეტი,3666,42.0875,42.036111
Ozurgeti,44,ოზურგეთის მუნიციპალიტეტი,8311,41.926944,42.000556
Bagdati,21,ბაღდათის მუნიციპალიტეტი,2505,42.067778,42.824722
Chiatura,44,ჭიათურის მუნიციპალიტეტი,5058,42.289444,43.283611
Kharagauli,26,ხარაგაულის მუნიციპალიტეტი,2068,42.014167,43.203333
Khoni,26,ხონის მუნიციპალიტეტი,3026,42.326389,42.422778
Kutaisi,48,ქ. ქუთაისი,33612,42.25,42.7
Sachkhere,33,საჩხერის მუნიციპალიტეტი,4986,42.339722,43.404722
Samtredia,36,სამტრედიის მუნიციპალიტეტი,6625,42.1625,42.341667
Terjola,25,თერჯოლის მუნიციპალიტეტი,3706,42.183333,42.977222
Tkibuli,24,ტყიბულის მუნიციპალიტეტი,2244,42.3,43.016667
Tskaltubo,42,წყალტუბოს მუნიციპალიტეტი,5672,42.326389,42.600556
Vani,31,ვანის მუნიციპალიტეტი,2715,42.07729799,42.51183271
Zestaponi,36,ზესტაფონის მუნიციპალიტეტი,8485,42.108333,43.041667
Akhmeta,23,ახმეტის მუნიციპალიტეტი,4626,42.034444,45.211111
Dedoplis Tskaro,16,დედოფლისწყაროს მუნიციპალიტეტი,2681,41.463889,46.111111
Gurjaani,25,გურჯაანის მუნიციპალიტეტი,7151,41.744444,45.794167
Kvareli,22,ყვარლის მუნიციპალიტეტი,3963,41.951389,45.818333
Lagodekhi,29,ლაგოდეხის მუნიციპალიტეტი,6499,41.823611,46.272222
Sagarejo,26,საგარეჯოს მუნიციპალიტეტი,8402,41.736944,45.325833
Signagi,22,სიღნაღის მუნიციპალიტეტი,3488,41.618611,45.921667
Telavi,28,თელავის მუნიციპალიტეტი,8724,41.916944,45.476389
Bolnisi,34,ბოლნისის მუნიციპალიტეტი,8158,41.449444,44.541944
Dmanisi,27,დმანისის მუნიციპალიტეტი,2824,41.332222,44.204444
Gardabani,35,გარდაბნის მუნიციპალიტეტი,13688,41.460833,45.089444
Marneuli,75,მარნეულის მუნიციპალიტეტი,20104,41.487222,44.798056
Tetri Tskaro,28,თეთრი წყაროს მუნიციპალიტეტი,2952,41.55,44.466667
Tsalka,32,წალკის მუნიციპალიტეტი,2603,41.599722,44.090556
Akhalgori,0,ახალგორის მუნიციპალიტეტი,0,42.121667,44.485278
Dusheti,37,დუშეთის მუნიციპალიტეტი,3151,42.084722,44.695833
Kazbegi,8,ყაზბეგის მუნიციპალიტეტი,624,42.658333,44.641667
Mtskheta,30,მცხეთის მუნიციპალიტეტი,7986,41.843056,44.719444
Tianeti,13,თიანეთის მუნიციპალიტეტი,1031,42.109722,44.968056
Ambrolauri,22,ამბროლაურის მუნიციპალიტეტი,1036,42.521694,43.148306
Lentekhi,11,ლენტეხის მუნიციპალიტეტი,456,42.788889,42.723611
Oni,9,ონის მუნიციპალიტეტი,557,42.583889,43.441667
Tsageri,26,ცაგერის მუნიციპალიტეტი,820,42.62049153,42.73975611
Abasha,23,აბაშის მუნიციპალიტეტი,2441,42.204167,42.202778
Chkhorotsku,19,ჩხოროწყუს მუნიციპალიტეტი,2567,42.522222,42.129167
Khobi,27,ხობის მუნიციპალიტეტი,3631,42.316667,41.9
Martvili,39,მარტვილის მუნიციპალიტეტი,4024,42.414778,42.378889
Mestia,25,მესტიის მუნიციპალიტეტი,1639,43.043556,42.723972
Senaki,26,სენაკის მუნიციპალიტეტი,5438,42.268889,42.067778
Tsalenjikha,30,წალენჯიხის მუნიციპალიტეტი,3455,42.611722,42.070611
Zugdidi,57,ზუგდიდის მუნიციპალიტეტი,15479,42.508056,41.8725
Adigeni,25,ადიგენის მუნიციპალიტეტი,1973,41.675278,42.705833
Akhalkalaki,65,ახალქალაქის მუნიციპალიტეტი,6932,41.405556,43.486111
Akhaltsikhe,39,ახალციხის მუნიციპალიტეტი,6426,41.638889,42.986111
Aspindza,18,ასპინძის მუნიციპალიტეტი,1440,41.573889,43.250556
Borjomi,20,ბორჯომის მუნიციპალიტეტი,3585,41.841667,43.382778
Ninotsminda,38,ნინოწმინდის მუნიციპალიტეტი,3823,41.266944,43.589583
Gori,72,გორის მუნიციპალიტეტი,19742,41.981686,44.112417
Java,0,ჯავის მუნიციპალიტეტი,0,42.390389,43.922306
Kareli,36,ქარელის მუნიციპალიტეტი,6030,42.021389,43.893056
Kaspi,30,კასპის მუნიციპალიტეტი,5534,41.924444,44.418889
Khashuri,33,ხაშურის მუნიციპალიტეტი,8028,41.9975,43.598611
Tbilisi,289,თბილისი,225293,41.7225,44.7925
